№,業者番号,会社名,所在地,電話番号,経審（Ｐ）,総合数値,ランク,geometry
1,1000001127,須山建設株式会社,浜松市中央区布橋二丁目６番１号,471-0321,1423,1553,A,POINT(137.715972 34.720597)
2,1000001673,株式会社中村組,浜松市中央区住吉五丁目２２番１号,412-1111,1338,1468,A,POINT(137.732226 34.734151)
3,1000001674,中村建設株式会社,浜松市中央区中沢町７１番２３号,471-3421,1289,1389,A,POINT(137.73324 34.721638)
4,1000002527,株式会社林工組,浜松市中央区渡瀬町１０００‐１,461-8853,1214,1334,A,POINT(137.759353 34.705248)
5,1000001086,株式会社鈴木組,浜松市中央区神田町１５２２,442-2111,1132,1262,A,POINT(137.723659 34.682594)
6,1000001576,常盤工業株式会社,浜松市中央区新津町１９７番地,461-9155,1138,1228,A,POINT(137.741287 34.723395)
7,1000000076,アサヒハウス工業株式会社,浜松市中央区鍛冶町１番地の２,458-1280,1109,1199,A,POINT(137.731553 34.702769)
8,1000000121,株式会社飯田組,浜松市中央区小池町６７３番地の３,432-4060,1163,1173,A,POINT(137.758716 34.750752)
9,1000000336,遠鉄建設株式会社,浜松市中央区下池川町６０番地の１,478-2222,1094,1164,A,POINT(137.72877 34.714158)
10,1000001934,株式会社浜建,浜松市中央区和地町５１８１‐１,486-0110,1068,1158,A,POINT(137.65463 34.761822)
11,1000002443,山平建設株式会社,浜松市中央区中央２丁目８番１６号,454-6381,1050,1130,A,POINT(137.738712 34.710113)
12,1000002528,林工住宅株式会社,浜松市中央区飯田町８,463-0258,1050,1070,A,POINT(137.773019 34.710938)
13,1000002272,株式会社水野組,浜松市中央区倉松町１０４４,447-0009,1003,1043,A,POINT(137.69146 34.675484)
14,1000000867,三協建設株式会社,浜松市浜名区三ヶ日町津々崎７５‐１,525-1031,1001,1041,A,POINT(137.563191 34.796937)
15,1000001071,株式会社杉浦組,浜松市中央区紺屋町３０８‐４,454-6441,971,1041,A,POINT(137.727043 34.707159)
16,1000000403,小笠原マル昇株式会社,浜松市中央区初生町９２２‐３,437-6101,895,1025,A,POINT(137.7245 34.766195)
17,1000000043,赤堀産業株式会社,浜松市中央区有玉台１‐９‐１１,434-4332,957,1017,A,POINT(137.739063 34.759699)
18,1000002452,山吉建設株式会社,浜松市中央区米津町２２６６‐１,448-0061,985,1015,A,POINT(137.703896 34.674666)
19,1000002526,株式会社リンク,浜松市中央区東三方町２２８－１,424-5000,968,988,A,POINT(137.726759 34.779635)
20,1000001134,西遠建設株式会社,浜松市中央区富屋町１５３,425-1811,925,975,A,POINT(137.776629 34.678859)
21,1000000055,株式会社アクト建設,浜松市中央区入野町４９７２‐７,445-4350,969,969,A,POINT(137.68996 34.700577)
22,1000000596,株式会社キーストン,浜松市中央区葵西６丁目３番１号‐３,430-6780,950,960,A,POINT(137.703795 34.768148)
23,1000001739,日管株式会社,浜松市中央区池町２２０番地の４,459-3000,971,951,A,POINT(137.728741 34.70997)
24,1000002259,丸友開発株式会社,浜松市中央区東若林町５６８‐２,454-8118,910,940,A,POINT(137.708029 34.693789)
25,1000000249,内田計器工業株式会社,浜松市中央区八幡町１５０,471-8616,923,923,A,POINT(137.735448 34.716466)
26,1000002546,株式会社和久田組,浜松市中央区泉二丁目５‐２９,473-7621,879,909,A,POINT(137.723736 34.744615)
27,1000001262,株式会社大東建設,浜松市中央区志都呂一丁目２４番‐１号,447-1256,868,898,B,POINT(137.660662 34.698826)
28,1000002323,株式会社三輪組,浜松市中央区半田町１４１９‐２,433-2211,885,895,B,POINT(137.747556 34.769163)
